X, Y
-0.290619262,0.900921938
-0.87100925,0.523392838
-0.527539807,0.854718191
-0.772901795,0.257798343
0.475705605,0.919683331
0.499342151,-0.259899146
0.501636286,0.11233666
0.988983988,-0.499156644
-0.477849438,0.476766442
0.244534695,-0.893987315
0.915611047,0.062988872
-0.589127044,0.620221668
-0.664925909,0.982544736
0.601409815,0.182249995
0.76530772,0.308665062
0.781685535,0.663881051
0.307949686,-0.579671643
-0.080206705,-0.408461542
0.86157068,-0.962907615
-0.791665876,0.996755676
-0.210774601,0.013780115
0.108648079,0.28951325
-0.873535074,-0.268435193
-0.163382369,-0.235627871
-0.965811777,-0.850468466
0.884759398,0.778310216
-0.744400377,0.913824096
-0.632406023,-0.27685525
0.684317274,0.743114993
0.623103439,-0.352604998
-0.952904751,0.553262657
-0.139521962,0.781344833
0.504674994,-0.568092726
0.460263687,-0.213345474
-0.787594153,-0.234959072
-0.769456473,0.822956718
-0.012336199,0.713834687
-0.782826826,-0.335498366
0.041156161,0.563568648
0.10439878,-0.230400269
-0.998100831,0.09328594
0.910300866,-0.320227858
0.182111905,-0.147189568
0.8106086,-0.123912272
-0.585084831,-0.397818047
-0.924770696,0.994623641
-0.377990278,0.985889533
0.592497033,0.14075379
0.183457501,-0.365636606
-0.18179784,-0.915435281
