X, Y
-0.273700188,-0.472156419
0.764380513,0.422558095
-0.474077574,-0.956007984
0.349724398,0.232559474
-0.362037966,0.413844293
-0.667015861,0.473652717
-0.407196812,0.490476232
0.335198657,0.555194159
-0.530009753,0.536174787
0.286311767,-0.950053491
0.848254046,0.408575268
-0.492342571,0.110041727
-0.011525705,0.844132613
-0.760003303,0.25163939
0.778135977,0.708222514
0.832866322,0.76728892
0.277004304,-0.146303382
-0.078622634,0.500879631
-0.548304754,-0.180689614
0.977606115,0.386908132
-0.671905991,-0.607662023
-0.8061601,-0.049723389
0.517582834,0.841335898
0.485283296,0.983001105
0.347993443,0.002749626
0.468313496,-0.191311163
-0.928100969,0.672403077
0.409525592,0.692838216
0.315210122,0.895679891
0.39369939,-0.864344922
0.276070919,-0.753304758
0.67930071,-0.708282766
0.852637391,0.795049844
0.516940408,0.396081132
-0.302453822,0.314410769
0.797315148,-0.808280811
0.916846626,0.369363597
0.434607689,0.789121043
-0.593201678,-0.71271627
0.741476308,0.199881507
-0.751913982,-0.794783736
0.575975434,-0.671586024
0.688665882,0.888139599
0.791681656,-0.383838886
-0.130669893,-0.010896704
0.258528963,-0.494220957
0.421784097,-0.4111249
-0.872400314,0.890725996
-0.409190852,-0.743807533
0.297931005,-0.771311139
