X, Y
0.578257671,0.19759145
-0.187925418,-0.125681396
-0.051914413,-0.637648353
-0.760080011,0.797170562
-0.584336715,0.638760093
0.304853468,0.048412136
0.994825473,-0.852412074
0.568806843,0.017869851
-0.650451323,-0.679452565
-0.323698376,-0.597585542
-0.088237589,0.391529713
0.221385826,0.726893755
-0.070788414,0.085666651
0.478012356,0.047199812
-0.004591485,0.619438034
0.476520002,0.734334592
-0.470872949,-0.718868488
-0.543273063,0.781997249
-0.835631487,-0.061344794
-0.403496554,-0.004137357
-0.59074089,-0.665631107
0.762852772,0.321588563
-0.600216678,-0.642062174
0.738832065,0.675712664
0.191850335,0.405108573
-0.540030958,-0.750258069
0.696184395,-0.414034808
0.783098325,0.534422933
0.100427454,0.467363335
0.978856697,-0.75371725
0.394806554,0.199725526
-0.67145072,-0.401973542
0.74751436,-0.831692077
0.701599783,-0.70672397
-0.078930093,-0.725482695
-0.914931897,0.775943078
0.740211224,0.351009513
-0.623936211,-0.196206214
0.470427041,-0.894479695
0.252114345,0.508410764
-0.771455106,-0.779651987
0.473057264,-0.932282345
-0.483645971,-0.151870347
0.059330228,0.105168388
0.300204345,0.677827881
-0.430901766,-0.761521098
-0.976960082,0.671112047
0.52318374,0.223998268
-0.832163589,-0.891159926
0.417909101,0.8543703
